year,format,otrasl,value_inout,merge_index
2012,Трансграничная(in-out),IT,599.6496400000001,2012IT
2012,Трансграничная(in-out),ДОБЫЧА,1270.8014125,2012ДОБЫЧА
2012,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,981.0630424999997,2012МАШИНОСТРОЕНИЕ
2012,Трансграничная(in-out),МЕТАЛЛУРГИЯ,1556.6518925,2012МЕТАЛЛУРГИЯ
2012,Трансграничная(in-out),НЕФТЕХИМ,13189.8886475,2012НЕФТЕХИМ
2012,Трансграничная(in-out),ПИЩЕВАЯ,323.68216,2012ПИЩЕВАЯ
2012,Трансграничная(in-out),СВЯЗЬ,7393.502799999998,2012СВЯЗЬ
2012,Трансграничная(in-out),СМИ,293.282,2012СМИ
2012,Трансграничная(in-out),СПОРТ,796.9818700000002,2012СПОРТ
2012,Трансграничная(in-out),СТРОИТЕЛЬСТВО,63.0504,2012СТРОИТЕЛЬСТВО
2012,Трансграничная(in-out),ТОРГОВЛЯ,3960.912436666666,2012ТОРГОВЛЯ
2012,Трансграничная(in-out),ТЭК,12161.048637499998,2012ТЭК
2012,Трансграничная(in-out),ТранСПОРТ,20937.282645000007,2012ТранСПОРТ
2012,Трансграничная(in-out),УСЛУГИ,544.655782,2012УСЛУГИ
2012,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,30840.376458,2012ФИНАНСОВЫЕ ИНСТИТУТЫ
2012,Трансграничная(in-out),ЭЛЕКТРОЭНЕРГЕТИКА,789.5898139999999,2012ЭЛЕКТРОЭНЕРГЕТИКА
2013,Трансграничная(in-out),IT,398.9688,2013IT
2013,Трансграничная(in-out),ДОБЫЧА,707.0040250000002,2013ДОБЫЧА
2013,Трансграничная(in-out),ЛЕГКАЯ,33.2474,2013ЛЕГКАЯ
2013,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,1315.789425,2013МАШИНОСТРОЕНИЕ
2013,Трансграничная(in-out),МЕТАЛЛУРГИЯ,10736.470213333334,2013МЕТАЛЛУРГИЯ
2013,Трансграничная(in-out),НЕФТЕХИМ,6224.494960000001,2013НЕФТЕХИМ
2013,Трансграничная(in-out),ПИЩЕВАЯ,3035.1770437500004,2013ПИЩЕВАЯ
2013,Трансграничная(in-out),СВЯЗЬ,571.98297,2013СВЯЗЬ
2013,Трансграничная(in-out),СМИ,31.2559,2013СМИ
2013,Трансграничная(in-out),СПОРТ,1474.9522000000004,2013СПОРТ
2013,Трансграничная(in-out),СТРОИТЕЛЬСТВО,6152.01536,2013СТРОИТЕЛЬСТВО
2013,Трансграничная(in-out),Страхование,43.16220000000001,2013Страхование
2013,Трансграничная(in-out),ТОРГОВЛЯ,592.241632,2013ТОРГОВЛЯ
2013,Трансграничная(in-out),ТЭК,2298.0153720000008,2013ТЭК
2013,Трансграничная(in-out),ТранСПОРТ,366.1151,2013ТранСПОРТ
2013,Трансграничная(in-out),УСЛУГИ,9543.471804,2013УСЛУГИ
2013,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,2050.732052,2013ФИНАНСОВЫЕ ИНСТИТУТЫ
2013,Трансграничная(in-out),ЭЛЕКТРОЭНЕРГЕТИКА,2220.1297,2013ЭЛЕКТРОЭНЕРГЕТИКА
2014,Трансграничная(in-out),IT,2557.591667142857,2014IT
2014,Трансграничная(in-out),ДОБЫЧА,10987.84239,2014ДОБЫЧА
2014,Трансграничная(in-out),ЛЕГКАЯ,3161.0475,2014ЛЕГКАЯ
2014,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,642.9883024999998,2014МАШИНОСТРОЕНИЕ
2014,Трансграничная(in-out),МЕТАЛЛУРГИЯ,4950.486056666667,2014МЕТАЛЛУРГИЯ
2014,Трансграничная(in-out),НЕФТЕХИМ,7572.5943333333325,2014НЕФТЕХИМ
2014,Трансграничная(in-out),ПИЩЕВАЯ,1174.02006,2014ПИЩЕВАЯ
2014,Трансграничная(in-out),СПОРТ,2327.716715,2014СПОРТ
2014,Трансграничная(in-out),СТРОИТЕЛЬСТВО,3580.921906666667,2014СТРОИТЕЛЬСТВО
2014,Трансграничная(in-out),ТОРГОВЛЯ,1085.2466,2014ТОРГОВЛЯ
2014,Трансграничная(in-out),ТЭК,133658.52860333337,2014ТЭК
2014,Трансграничная(in-out),ТранСПОРТ,2481.8035200000004,2014ТранСПОРТ
2014,Трансграничная(in-out),УСЛУГИ,4125.4348820000005,2014УСЛУГИ
2014,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,10990.889376666668,2014ФИНАНСОВЫЕ ИНСТИТУТЫ
2014,Трансграничная(in-out),ЭЛЕКТРОЭНЕРГЕТИКА,9600.80928,2014ЭЛЕКТРОЭНЕРГЕТИКА
2015,Трансграничная(in-out),IT,443.37074500000006,2015IT
2015,Трансграничная(in-out),ДОБЫЧА,662.393,2015ДОБЫЧА
2015,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,402.9790633333334,2015МАШИНОСТРОЕНИЕ
2015,Трансграничная(in-out),МЕТАЛЛУРГИЯ,4481.9893649999985,2015МЕТАЛЛУРГИЯ
2015,Трансграничная(in-out),ПИЩЕВАЯ,895.0633,2015ПИЩЕВАЯ
2015,Трансграничная(in-out),СЕЛЬХОЗ,899.4888,2015СЕЛЬХОЗ
2015,Трансграничная(in-out),СПОРТ,33074.16926,2015СПОРТ
2015,Трансграничная(in-out),СТРОИТЕЛЬСТВО,503.1033,2015СТРОИТЕЛЬСТВО
2015,Трансграничная(in-out),ТОРГОВЛЯ,5103.712966666666,2015ТОРГОВЛЯ
2015,Трансграничная(in-out),ТЭК,41053.128014,2015ТЭК
2015,Трансграничная(in-out),ТранСПОРТ,63.12740999999999,2015ТранСПОРТ
2015,Трансграничная(in-out),УСЛУГИ,268.16022999999996,2015УСЛУГИ
2015,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,1492.31354,2015ФИНАНСОВЫЕ ИНСТИТУТЫ
2015,Трансграничная(in-out),ЭЛЕКТРОЭНЕРГЕТИКА,18439.3231,2015ЭЛЕКТРОЭНЕРГЕТИКА
2016,Трансграничная(in-out),IT,19883.281022727268,2016IT
2016,Трансграничная(in-out),ДОБЫЧА,4906.8600000000015,2016ДОБЫЧА
2016,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,597.0475,2016МАШИНОСТРОЕНИЕ
2016,Трансграничная(in-out),НЕФТЕХИМ,20115.36,2016НЕФТЕХИМ
2016,Трансграничная(in-out),ПИЩЕВАЯ,277.19116,2016ПИЩЕВАЯ
2016,Трансграничная(in-out),Прочие производства,7181.5757933333325,2016Прочие производства
2016,Трансграничная(in-out),СВЯЗЬ,20584.7184,2016СВЯЗЬ
2016,Трансграничная(in-out),СТРОИТЕЛЬСТВО,440.59488,2016СТРОИТЕЛЬСТВО
2016,Трансграничная(in-out),ТОРГОВЛЯ,762.11109,2016ТОРГОВЛЯ
2016,Трансграничная(in-out),ТранСПОРТ,10105.296,2016ТранСПОРТ
2016,Трансграничная(in-out),УСЛУГИ,1649.956016666667,2016УСЛУГИ
2016,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,5928.3349314285715,2016ФИНАНСОВЫЕ ИНСТИТУТЫ
2017,Трансграничная(in-out),IT,650.0200940000002,2017IT
2017,Трансграничная(in-out),ДОБЫЧА,395.87285,2017ДОБЫЧА
2017,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,81.69903333333333,2017МАШИНОСТРОЕНИЕ
2017,Трансграничная(in-out),ПИЩЕВАЯ,591.25,2017ПИЩЕВАЯ
2017,Трансграничная(in-out),Прочие производства,620.5584,2017Прочие производства
2017,Трансграничная(in-out),СЕЛЬХОЗ,163.71248,2017СЕЛЬХОЗ
2017,Трансграничная(in-out),СТРОИТЕЛЬСТВО,1003.29492,2017СТРОИТЕЛЬСТВО
2017,Трансграничная(in-out),ТОРГОВЛЯ,1521.5193499999998,2017ТОРГОВЛЯ
2017,Трансграничная(in-out),ТЭК,163615.07882750002,2017ТЭК
2017,Трансграничная(in-out),ТранСПОРТ,5252.625000000001,2017ТранСПОРТ
2017,Трансграничная(in-out),УСЛУГИ,98477.98398866666,2017УСЛУГИ
2017,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,2293.8693000000007,2017ФИНАНСОВЫЕ ИНСТИТУТЫ
2018,Трансграничная(in-out),IT,159.80434,2018IT
2018,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,4057.485616666667,2018МАШИНОСТРОЕНИЕ
2018,Трансграничная(in-out),СТРОИТЕЛЬСТВО,26051.475,2018СТРОИТЕЛЬСТВО
2018,Трансграничная(in-out),ТОРГОВЛЯ,1400.0320000000004,2018ТОРГОВЛЯ
2018,Трансграничная(in-out),ТранСПОРТ,3139.144375,2018ТранСПОРТ
2018,Трансграничная(in-out),УСЛУГИ,16.34688,2018УСЛУГИ
